ProductKey,CurrencyAlternateKey,FIRST_NAME,LAST_NAME,OrderDateKey,OrderQuantity,UnitPrice,SecretCode
346,FRF,Rachael,Martinez,29.12.2010 00:00:00,1,3399,99,41547D30-7
346,USD,Sydney,Wright,29.12.2010 00:00:00,1,3399,99,6E8D3A35-0
336,USD,Ruben,Prasad,29.12.2010 00:00:00,1,699,10,F77CC161-0
346,AUD,Christy,Zhu,29.12.2010 00:00:00,1,3399,99,D1D71173-6
311,USD,Colin,Anand,30.12.2010 00:00:00,1,3578,27,623DD3DB-B
310,AUD,Albert,Alvarez,30.12.2010 00:00:00,1,3578,27,47F3F8AB-D
351,AUD,Julio,Ruiz,30.12.2010 00:00:00,1,3374,99,687FA53D-D
344,AUD,Curtis,Lu,30.12.2010 00:00:00,1,3399,99,628C5708-5
312,USD,Edward,Brown,31.12.2010 00:00:00,1,3578,27,85B07344-2
312,USD,Emma,Brown,31.12.2010 00:00:00,1,3578,27,6F5A98DC-0
330,GBP,Brad,Deng,31.12.2010 00:00:00,1,699,10,9521CD72-5
313,AUD,Martha,Xu,31.12.2010 00:00:00,1,3578,27,7BAA6152-B
314,AUD,Katrina,Raji,31.12.2010 00:00:00,1,3578,27,28B10E50-3
314,USD,Courtney,Edwards,01.01.2011 00:00:00,1,3578,27,828DB9AA-E
311,DEM,Abigail,Henderson,01.01.2011 00:00:00,1,3578,27,01229B80-D
310,USD,Sydney,Rogers,02.01.2011 00:00:00,1,3578,27,DF132DFE-2
311,GBP,Latasha,Alonso,02.01.2011 00:00:00,1,3578,27,058A71A5-6
314,AUD,Warren,Jai,02.01.2011 00:00:00,1,3578,27,5ACA12E6-2
311,AUD,Jonathon,Gutierrez,02.01.2011 00:00:00,1,3578,27,919EC4E9-5
336,AUD,Alexandra,Watson,02.01.2011 00:00:00,1,699,10,9B935172-C
311,USD,Kevin,Gonzalez,03.01.2011 00:00:00,1,3578,27,52E33971-A
312,USD,Lucas,Hill,03.01.2011 00:00:00,1,3578,27,F0863A4D-3
311,DEM,Melanie,Sanchez,03.01.2011 00:00:00,1,3578,27,CDE23829-7
310,GBP,Louis,Xie,03.01.2011 00:00:00,1,3578,27,63267AF1-F
312,GBP,Albert,Blanco,04.01.2011 00:00:00,1,3578,27,F156DE50-5
332,USD,Bonnie,Xu,04.01.2011 00:00:00,1,699,10,75BB0840-B
311,AUD,Misty,Raji,04.01.2011 00:00:00,1,3578,27,F5777BD6-3
311,DEM,Anne,Dominguez,05.01.2011 00:00:00,1,3578,27,B27E1CC7-5
332,USD,Kelvin,Huang,05.01.2011 00:00:00,1,699,10,E7721FFF-2
311,AUD,Logan,Gonzales,05.01.2011 00:00:00,1,3578,27,96BCAB0C-6
313,USD,Alyssa,Garcia,06.01.2011 00:00:00,1,3578,27,14ABD972-1
346,GBP,Mayra,Prasad,06.01.2011 00:00:00,1,3399,99,9F801E4D-7
346,USD,Garrett,Cooper,06.01.2011 00:00:00,1,3399,99,74972CF4-5
314,AUD,Rosa,Zheng,06.01.2011 00:00:00,1,3578,27,C06B5976-A
350,AUD,Alejandro,Beck,06.01.2011 00:00:00,1,3374,99,651BEBD1-F
312,USD,Patrick,Cook,06.01.2011 00:00:00,1,3578,27,A15B1B1E-D
312,USD,Richard,Brooks,07.01.2011 00:00:00,1,3578,27,55C068B7-9
310,AUD,Casey,Pal,07.01.2011 00:00:00,1,3578,27,385025B9-A
346,AUD,Ruben,Torres,07.01.2011 00:00:00,1,3399,99,88DBB718-7
311,DEM,Lindsey,Andersen,08.01.2011 00:00:00,1,3578,27,045924A5-D
312,FRF,Melody,Ramos,08.01.2011 00:00:00,1,3578,27,C54C69D4-9
310,GBP,Phillip,Sai,08.01.2011 00:00:00,1,3578,27,5FA24929-C
312,AUD,Cory,Arun,08.01.2011 00:00:00,1,3578,27,A53D7D47-B
310,USD,Jeremiah,Martinez,09.01.2011 00:00:00,1,3578,27,800AC57E-2
314,GBP,Tamara,Lal,09.01.2011 00:00:00,1,3578,27,E879B1EA-9
347,AUD,Marco,Mehta,09.01.2011 00:00:00,1,3399,99,5BBD4D6C-F
313,AUD,Haley,Ward,09.01.2011 00:00:00,1,3578,27,4AFD54A4-E
311,AUD,Manuel,Fernandez,10.01.2011 00:00:00,1,3578,27,625C0314-B
312,AUD,Kelvin,Liang,10.01.2011 00:00:00,1,3578,27,F470C965-2
314,USD,Christian,Jackson,11.01.2011 00:00:00,1,3578,27,AC6F125D-5
313,USD,Alexandria,Hughes,11.01.2011 00:00:00,1,3578,27,01DBA686-C
314,USD,Paige,Murphy,11.01.2011 00:00:00,1,3578,27,186E177C-F
311,FRF,Stacey,Lu,11.01.2011 00:00:00,1,3578,27,55580619-F
313,FRF,Darrell,Raji,11.01.2011 00:00:00,1,3578,27,C96B94B1-1
311,DEM,Luke,Adams,11.01.2011 00:00:00,1,3578,27,EE54EFC8-8
310,AUD,Tabitha,Arthur,11.01.2011 00:00:00,1,3578,27,E74CE44C-1
312,USD,Morgan,Phillips,12.01.2011 00:00:00,1,3578,27,4F444B78-E
311,USD,Kayla,Long,12.01.2011 00:00:00,1,3578,27,471667AA-2
332,GBP,Cedric,Liang,12.01.2011 00:00:00,1,699,10,B42D3A2C-7
350,AUD,Shannon,Wang,12.01.2011 00:00:00,1,3374,99,11914387-1
310,USD,Jackson,Li,13.01.2011 00:00:00,1,3578,27,FD32112B-B
310,DEM,Jon,Chander,13.01.2011 00:00:00,1,3578,27,304F0752-A
314,AUD,Tiffany,Gao,13.01.2011 00:00:00,1,3578,27,EA93FE6C-C
310,AUD,Brenda,Fernandez,13.01.2011 00:00:00,1,3578,27,CA39F033-C
314,USD,Courtney,Carter,14.01.2011 00:00:00,1,3578,27,965B2EEF-F
313,AUD,Martha,Liang,14.01.2011 00:00:00,1,3578,27,35F7B2F5-6
310,AUD,Ebony,Ashe,14.01.2011 00:00:00,1,3578,27,966D5A5C-4
346,AUD,Jacquelyn,Suarez,14.01.2011 00:00:00,1,3399,99,65962E8F-6
313,AUD,Krystal,Holt,15.01.2011 00:00:00,1,3578,27,2DEC6C60-D
350,AUD,Eugene,Huang,15.01.2011 00:00:00,1,3374,99,C2632E2E-5
312,USD,Evan,Bailey,16.01.2011 00:00:00,1,3578,27,49860DEE-8
312,CAD,Gabrielle,Jenkins,16.01.2011 00:00:00,1,3578,27,CFB74164-B
312,USD,Warren,Ye,16.01.2011 00:00:00,1,3578,27,AF351A54-9
330,USD,Ashley,Washington,16.01.2011 00:00:00,1,699,10,3B9B5BB8-E
312,AUD,Damien,Huang,16.01.2011 00:00:00,1,3578,27,7D069546-6
314,AUD,Arthur,Perez,16.01.2011 00:00:00,1,3578,27,CCCFE349-D
313,AUD,Roy,Raman,16.01.2011 00:00:00,1,3578,27,23F782A4-A
347,AUD,Jessie,Zhao,16.01.2011 00:00:00,1,3399,99,AA44E91C-4
314,DEM,James,Flores,17.01.2011 00:00:00,1,3578,27,5EDC895C-1
311,AUD,Troy,Sai,17.01.2011 00:00:00,1,3578,27,07586077-2
345,AUD,Clarence,Rai,17.01.2011 00:00:00,1,3399,99,1D151D1E-3
326,AUD,Warren,Zhang,17.01.2011 00:00:00,1,699,10,5AA581D3-C
311,FRF,Melody,Diaz,18.01.2011 00:00:00,1,3578,27,5799DB81-C
312,AUD,Monique,Ramos,18.01.2011 00:00:00,1,3578,27,FBD4BD29-2
312,AUD,Melvin,She,18.01.2011 00:00:00,1,3578,27,4958570C-F
312,AUD,Cameron,Thompson,18.01.2011 00:00:00,1,3578,27,0B8E6A83-2
310,USD,Jessica,Sanchez,19.01.2011 00:00:00,1,3578,27,003CEBBF-B
311,FRF,Ivan,Raman,19.01.2011 00:00:00,1,3578,27,656EB8DF-7
344,DEM,Don,Lal,19.01.2011 00:00:00,1,3399,99,C1CC71F2-6
351,GBP,Latoya,Goel,19.01.2011 00:00:00,1,3374,99,74D19CA7-3
351,USD,Tristan,Butler,19.01.2011 00:00:00,1,3374,99,769219D4-D
344,USD,Abigail,Perry,19.01.2011 00:00:00,1,3399,99,A5D8C6AC-C
314,AUD,Dustin,Lal,19.01.2011 00:00:00,1,3578,27,18C04193-0
312,AUD,Andres,Lal,19.01.2011 00:00:00,1,3578,27,E053F2A5-4
344,AUD,Jon,Yang,19.01.2011 00:00:00,1,3399,99,4F283B14-1
347,AUD,Jimmy,Moreno,19.01.2011 00:00:00,1,3399,99,B44FA79A-7
312,USD,Maria,Henderson,20.01.2011 00:00:00,1,3578,27,B4D77C06-B
342,FRF,Jaime,Gomez,20.01.2011 00:00:00,1,699,10,DF957A99-F
312,AUD,Francis,Ramos,20.01.2011 00:00:00,1,3578,27,E4193042-9
310,AUD,Tonya,She,20.01.2011 00:00:00,1,3578,27,6A2B97E0-5
312,AUD,Danny,Gomez,20.01.2011 00:00:00,1,3578,27,8286D8BF-C
311,CAD,Brittany,Gonzales,21.01.2011 00:00:00,1,3578,27,EB7340E9-2
311,GBP,Blake,Butler,21.01.2011 00:00:00,1,3578,27,AB3B6926-8
312,FRF,Armando,Moreno,21.01.2011 00:00:00,1,3578,27,E31CB83D-3
314,CAD,Alexa,Sanders,22.01.2011 00:00:00,1,3578,27,E81B4ED1-7
310,GBP,Savannah,Morris,22.01.2011 00:00:00,1,3578,27,3CF202BB-E
328,USD,Samuel,Hernandez,22.01.2011 00:00:00,1,699,10,C3C01D68-F
312,AUD,Sandra,Huang,22.01.2011 00:00:00,1,3578,27,2CF602F4-D
312,FRF,Ernest,Lin,23.01.2011 00:00:00,1,3578,27,F6167697-1
313,DEM,Allen,Garcia,23.01.2011 00:00:00,1,3578,27,8FAC3D43-0
310,AUD,Fernando,Thompson,23.01.2011 00:00:00,1,3578,27,485948E7-6
345,AUD,Elizabeth,Johnson,23.01.2011 00:00:00,1,3399,99,035BF630-B
346,AUD,Harold,Sai,23.01.2011 00:00:00,1,3399,99,C17CCF4E-E
312,USD,Bianca,Zheng,24.01.2011 00:00:00,1,3578,27,3EAD3F92-A
350,FRF,Frederick,Suri,24.01.2011 00:00:00,1,3374,99,928C61B6-3
350,USD,Tristan,Perry,24.01.2011 00:00:00,1,3374,99,3B6879DF-8
311,AUD,Jordyn,Simmons,24.01.2011 00:00:00,1,3578,27,67D93AFB-9
314,AUD,Dawn,Tang,24.01.2011 00:00:00,1,3578,27,059F21DC-0
310,AUD,Yolanda,Chander,24.01.2011 00:00:00,1,3578,27,615F4F35-5
312,AUD,Dominique,Garcia,24.01.2011 00:00:00,1,3578,27,77DD8ECD-9
